season_id,season,tier,division,match_id,match_name,date,attendance,team_id,team_name,opponent_id,opponent_name,home_team,away_team,goals_for,goals_against,goal_difference,result,win,loss,draw,note,points
S-2011-2011-1-S,2011-2011,1,FA Women's Super League (WSL),M-2011-2011-1-001-M,Chelsea Ladies vs Arsenal Ladies,4/13/2011,"2,510",T-008-T,Chelsea Ladies,T-001-T,Arsenal Ladies,1,0,0,1,-1,Loss,0,1,0,NA,0
S-2011-2011-1-S,2011-2011,1,FA Women's Super League (WSL),M-2011-2011-1-002-M,Lincoln Ladies vs Doncaster Rovers Belles,4/13/2011,742,T-016-T,Lincoln Ladies,T-011-T,Doncaster Rovers Belles,1,0,0,1,-1,Loss,0,1,0,NA,0
S-2011-2011-1-S,2011-2011,1,FA Women's Super League (WSL),M-2011-2011-1-003-M,Birmingham City Ladies vs Bristol Academy,4/14/2011,602,T-003-T,Birmingham City Ladies,T-006-T,Bristol Academy,1,0,4,0,4,Win,1,0,0,NA,3
S-2011-2011-1-S,2011-2011,1,FA Women's Super League (WSL),M-2011-2011-1-004-M,Liverpool Ladies vs Everton Ladies,4/14/2011,835,T-017-T,Liverpool Ladies,T-013-T,Everton Ladies,1,0,3,3,0,Draw,0,0,1,NA,1
S-2011-2011-1-S,2011-2011,1,FA Women's Super League (WSL),M-2011-2011-1-005-M,Everton Ladies vs Doncaster Rovers Belles,4/20/2011,220,T-013-T,Everton Ladies,T-011-T,Doncaster Rovers Belles,1,0,1,1,0,Draw,0,0,1,NA,1
S-2011-2011-1-S,2011-2011,1,FA Women's Super League (WSL),M-2011-2011-1-006-M,Liverpool Ladies vs Birmingham City Ladies,4/20/2011,341,T-017-T,Liverpool Ladies,T-003-T,Birmingham City Ladies,1,0,0,4,-4,Loss,0,1,0,NA,0
S-2011-2011-1-S,2011-2011,1,FA Women's Super League (WSL),M-2011-2011-1-007-M,Arsenal Ladies vs Bristol Academy,4/21/2011,655,T-001-T,Arsenal Ladies,T-006-T,Bristol Academy,1,0,1,0,1,Win,1,0,0,NA,3
S-2011-2011-1-S,2011-2011,1,FA Women's Super League (WSL),M-2011-2011-1-007-M,Arsenal Ladies vs Bristol Academy,4/21/2011,655,T-006-T,Bristol Academy,T-001-T,Arsenal Ladies,0,1,0,1,-1,Loss,0,1,0,NA,0
S-2011-2011-1-S,2011-2011,1,FA Women's Super League (WSL),M-2011-2011-1-008-M,Chelsea Ladies vs Lincoln Ladies,4/21/2011,273,T-008-T,Chelsea Ladies,T-016-T,Lincoln Ladies,1,0,1,1,0,Draw,0,0,1,NA,1
S-2011-2011-1-S,2011-2011,1,FA Women's Super League (WSL),M-2011-2011-1-008-M,Chelsea Ladies vs Lincoln Ladies,4/23/2011,273,T-016-T,Lincoln Ladies,T-008-T,Chelsea Ladies,0,1,1,1,0,Draw,0,0,1,NA,1
